kml_input_name,Transliterated names,Name,Standardised transliterated name,standardized_name,author-specific_name,region_name,kura_name,Unclear provincial affiliation,city_type,latitude,longitude,altitude,pushpin,location_certainty,date,descr,id,loc,note,pic,Imperial capital,Provincial Capital,Kura/Sub-Region Capital,Important city,Mint (precious metal),Mint (copper),West Syrian archdiocese,West Syrian diocese,East Syrian archdiocese,East Syrian diocese,Garrison,Qāḍīship,"Marwānid period to Hārūn, first period (c73-180/692-796)",Marwānid period (c.73-132/692-750),Marwān II (127-132/744-750),al-Manṣūr-Hārūn al-Rashīd (ca. 136-193/754-809),"Hārūn, second period (180-193/796-809)",al-Maʾmūn to al-Muʿtaṣim (ca. 198-221/813-836),Sāmarrāʾ period (ca. 221-279/836-892),al-Muʿtaḍid to al-Muqtadir (ca. 279-320/892-932),kura_code,region_code,Comments
الأنبار ,al-Anbār,الأنبار ,,,,,(no kura mentioned),x,,43.7171864254345,33.3789826671559,0,ylw-pushpin,confirmed remains from early Islamic times,,,"Ruins of ancient/early Islamic al-Anbar; EI2, ""al-Anbar"" (M. Streck/A. A. Duri); c. 5km nw of al-Falluja",Archaeological site; ANE place marker for Tell Anbar; close to coordinates given by EI2 entry,,,,,,,,,,,,x,,,,x,,x,,x,x,x,0,JAZ,
الرقة ,al-Raqqa,الرقة ,,,,Jazīra,Diyār Muḍar,,,39.0433742698797,35.9441391808211,0,ylw-pushpin,,,,Modern al-Raqqa ,"Early Islamic al-Raqqa; plan of al-Raqqa in EI2, ""Rakka"" (M. Meinecke).",,,,,,,,,,,,x,,,,x,,x,,x,x,x,0,JAZ,
الموصل,al-Mawṣil,الموصل,,,,al-Mawṣil,(no kura mentioned),,,43.1282596177328,36.3453028552322,0,grn-pushpin,,,,Modern Mosul,Modern Mosul,,,,,,,,,,,,x,,,,x,,x,,,,,0,JAZ,
بلد,Balad,بلد,,,,Jazīra,Diyār Rabīʿa,,,42.7390913026871,36.514846394073,0,grn-pushpin,no specific clues for an exact location,,,modern Eskī Muṣil,modern Eskī Muṣil,,,,,,,,,,,,x,,,,x,,x,,x,x,x,0,JAZ,
حديثة الموصل ,Ḥadīthat al-Mawṣil,حديثة الموصل ,,,,al-Mawṣil,(no kura mentioned),,,43.38527778,35.89388889,0,red-pushpin,no specific clues for an exact location,,,"EI2 (""Haditha"", E. Herzfeld): Hadithat al-Mawsil was located on the east bank of the Tigris, just below where the Upper Zab joins the Tigris. Ruins of Hadithat al-Mawsil at modern Tall al-Shaʿīr. For the location of Tall al-Shaʿīr see Muehl (Human Landscape - Site (Trans) Formation in the Trastigris Area, 83).",Settlement just below the mouth of the Upper Zab,,,,,,,,,,,,x,,,,x,,x,,,,,0,JAZ,
,Bawāzīj,بوازيج,,,,al-Mawṣil,(no kura mentioned),,,43.70666667,35.39305556,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,
سنجار ,Sinjār,سنجار ,,,,Jazīra,Diyār Rabīʿa,,,41.8578307765764,36.3217478212046,0,grn-pushpin,,,,modern Sinjar,ANE place marker,,,,,,,,,,,,x,,,,x,,x,,x,x,x,0,JAZ,
معلثاية,Maʿalthāya,معلثاية,,,,Jazīra,Diyār Rabīʿa,,,42.9399318453937,36.8569813742113,0,grn-pushpin,,,,Cornu: modern Maltay,"Modern Maltai, ANE place marker",,,,,,,,,,x,,x,,,,x,,x,,x,x,x,0,JAZ,
نينوى,Nīnawā,نينوى,,,,al-Mawṣil,(no kura mentioned),,,43.1517910696007,36.3585185629646,0,ylw-pushpin,,,,Cornu: ancient Nineveh,Remains of ancient Nineveh,,,,,,,,,,,,x,,,,x,,x,,,,,0,JAZ,
أرزن,Arzan,أرزن,,,,Jazīra,(no kura mentioned),,,41.3924927109661,37.9721068915873,0,ylw-pushpin,confirmed remains from early Islamic times,,,"ruins identified by Taylor (Travels in Kurdistan); see also EI2 (""Arzan"", R. N. Frye)","remains of ancient Roman town; see site plan in Taylor ((Travels in Kurdistan, with Notices of the Sources of the Eastern and Western Tigris, and Ancient Ruins in their Neighbourhood, 26)",,,,,,,,,,,,x,,,,x,,x,,x,x,x,2,JAZ,
